chr	start	end	startCpG	endCpG	Mouth	Stomach	Small-intestine	Colon
chr1	235095889	235096234	2135597	2135605	0.97	0.01	0.00	0.01
chr8	38135657	38135879	12513572	12513583	0.97	0.01	0.00	0.01
chr2	169053395	169053731	3765893	3765898	0.97	0.01	0.01	0.02
chr7	112410004	112410496	11632839	11632844	0.02	0.96	0.98	0.98
chr1	32788058	32788338	549052	549058	0.97	0.02	0.02	0.02
chr10	24523536	24524171	14912434	14912440	0.02	0.97	0.99	0.97
chr4	169708952	169709231	7347012	7347019	0.97	0.02	0.01	0.02
chr10	77496746	77497057	15362723	15362732	0.02	0.97	0.98	0.98
chr7	55178646	55178872	11093145	11093152	0.01	0.96	0.97	0.97
chr1	116809436	116809721	1263572	1263577	0.01	0.96	0.98	0.97
chr2	43242202	43242416	2727229	2727236	0.02	0.97	0.97	0.97
chr10	61802440	61802655	15211572	15211579	0.97	0.02	0.04	0.02
chr14	88738652	88739079	19942641	19942649	0.02	0.97	0.97	0.96
chr8	27530693	27530987	12419822	12419828	0.02	0.97	0.97	0.96
chrX	3784972	3785974	26818550	26818581	0.01	0.96	0.96	0.96
chr4	513418	513956	6078304	6078324	0.02	0.97	0.98	0.96
chr15	65538784	65539122	20670841	20670846	0.02	0.96	0.97	0.97
chr2	98371469	98371841	3179866	3179874	0.03	0.97	0.98	0.97
chr8	143463133	143463352	13332364	13332379	0.01	0.95	0.96	0.96
chr16	70186562	70186870	21874363	21874374	0.96	0.02	0.02	0.02
chr22	39041515	39041892	26512524	26512532	0.02	0.95	0.98	0.96
chr13	49081330	49081960	18834763	18834773	0.02	0.96	0.97	0.97
chr7	5697575	5697857	10665571	10665578	0.02	0.96	0.96	0.96
chr1	153536327	153536739	1406139	1406145	0.03	0.97	0.96	0.97
chr11	71541903	71542142	16714727	16714741	0.02	0.95	0.97	0.96
chr22	47187720	47188156	26667851	26667864	0.02	0.96	0.97	0.97
chr5	125706935	125707606	8492903	8492917	0.95	0.01	0.01	0.01
chr14	50548585	50548892	19601649	19601662	0.01	0.95	0.97	0.96
chr1	28568444	28568751	492575	492583	0.03	0.97	0.97	0.97
chr3	193548517	193548933	6000436	6000446	0.01	0.95	0.95	0.95
chr21	42599925	42600190	26055288	26055294	0.96	0.03	0.00	0.02
chr3	48770945	48771222	4877668	4877685	0.02	0.96	0.97	0.97
chr7	115899895	115900294	11652704	11652709	0.02	0.96	0.98	0.96
chr2	113634965	113635389	3336172	3336179	0.01	0.95	0.95	0.97
chr8	127857444	127857661	13178882	13178888	0.03	0.97	0.96	0.97
chr2	159965197	159965436	3706369	3706374	0.03	0.96	0.98	0.96
chr6	162712791	162713018	10417038	10417044	0.02	0.95	0.96	0.96
chr19	58830910	58831144	25068937	25068948	0.01	0.95	0.96	0.96
chr4	152248068	152248426	7223860	7223866	0.96	0.02	0.00	0.02
chr17	55753448	55753761	22930903	22930917	0.03	0.97	0.97	0.97
chr10	34502324	34502829	15010330	15010337	0.95	0.01	0.01	0.02
chr6	159318256	159318479	10379548	10379553	0.02	0.96	0.96	0.97
chr17	70409454	70409818	23098318	23098331	0.96	0.02	0.01	0.02
chr8	8540177	8540444	12216824	12216830	0.02	0.97	0.97	0.95
chr15	80872831	80873058	20850113	20850120	0.02	0.96	0.97	0.95
chr17	64428016	64428321	23037053	23037059	0.02	0.95	0.97	0.95
chr2	234331531	234331879	4303707	4303712	0.97	0.05	0.01	0.02
chr12	53309493	53309704	17751255	17751260	0.95	0.01	0.01	0.02
chr19	58830653	58830892	25068930	25068937	0.02	0.95	0.96	0.96
chr3	40086064	40086373	4784477	4784482	0.02	0.95	0.96	0.96
chr5	106940358	106940578	8367826	8367833	0.02	0.96	0.95	0.97
chr8	82454728	82455667	12850646	12850652	0.03	0.97	0.95	0.96
chr1	233763195	233763397	2121052	2121063	0.02	0.95	0.97	0.97
chr17	74663070	74663292	23178054	23178063	0.02	0.95	0.96	0.96
chr11	100651288	100651580	16939196	16939204	0.02	0.96	0.97	0.97
chr8	96233658	96233867	12942494	12942500	0.01	0.95	0.96	0.94
chr10	5567707	5567910	14708398	14708409	0.01	0.96	0.92	0.94
chr22	34142426	34143012	26437934	26437940	0.95	0.01	0.01	0.01
chr13	41027769	41028081	18764403	18764408	0.03	0.97	0.98	0.97
chr2	106268568	106268812	3258810	3258817	0.96	0.04	0.01	0.02
chr4	146801505	146801813	7184977	7184982	0.03	0.97	0.97	0.97
chr1	167393337	167393618	1551143	1551149	0.01	0.94	0.96	0.96
chr6	12579112	12579565	9197731	9197736	0.02	0.97	0.96	0.95
chr10	93316457	93316889	15493854	15493861	0.96	0.01	0.03	0.05
chr8	101690899	101691222	12988213	12988221	0.01	0.97	0.94	0.94
chr8	116506643	116507092	13087248	13087257	0.01	0.95	0.96	0.95
chr1	184510959	184511194	1688574	1688581	0.01	0.95	0.94	0.95
chr7	76604289	76604576	11328384	11328399	0.03	0.96	0.97	0.97
chr20	23144810	23145032	25291413	25291420	0.95	0.01	0.01	0.01
chr4	153615356	153615582	7235047	7235054	0.03	0.97	0.97	0.95
chr2	206830646	206830895	4054130	4054144	0.01	0.93	0.97	0.96
chr4	185277602	185277816	7473913	7473920	0.01	0.94	0.92	0.96
chr11	120007694	120008048	17111738	17111746	0.01	0.95	0.95	0.94
chr7	105445537	105445990	11583741	11583748	0.03	0.96	0.97	0.96
chr1	168662508	168662742	1563492	1563497	0.95	0.01	0.01	0.01
chr17	80745638	80745879	23328637	23328642	0.03	0.96	0.97	0.95
chr17	35515270	35515499	22663091	22663096	0.02	0.96	0.96	0.95
chr14	22988284	22988557	19394259	19394266	0.02	0.96	0.94	0.95
chr1	54821853	54822202	806616	806634	0.94	0.01	0.01	0.01
chr2	28755262	28755551	2597160	2597166	0.97	0.05	0.03	0.02
chr8	128439115	128439455	13182885	13182893	0.01	0.94	0.96	0.95
chr1	6882899	6883118	153669	153674	0.94	0.01	0.00	0.01
chr8	128582449	128582940	13183929	13183937	0.96	0.03	0.02	0.02
chr7	99232344	99232887	11495857	11495869	0.02	0.95	0.95	0.96
chr7	51134021	51134403	11062416	11062421	0.95	0.01	0.01	0.03
chr13	20979690	20979978	18573774	18573785	0.02	0.95	0.97	0.96
chr7	48134583	48134986	11039346	11039351	0.01	0.93	0.97	0.97
chr12	59447991	59448342	17827679	17827685	0.04	0.98	0.98	0.96
chr12	121622315	121622550	18348782	18348793	0.02	0.95	0.96	0.95
chr8	81111626	81112062	12838729	12838740	0.03	0.96	0.97	0.95
chr11	128812232	128812576	17203376	17203392	0.02	0.94	0.97	0.96
chr21	35408027	35408463	25974296	25974302	0.02	0.94	0.97	0.96
chr10	5567123	5567525	14708345	14708388	0.03	0.97	0.96	0.97
chr1	231162982	231163222	2095173	2095184	0.01	0.95	0.95	0.95
chr1	94057587	94057790	1091740	1091745	0.95	0.02	0.02	0.01
chr14	22961866	22962067	19394004	19394009	0.03	0.96	0.96	0.96
chr16	70733529	70733843	21884630	21884644	0.03	0.96	0.96	0.95
chr2	217398328	217398748	4133016	4133024	0.03	0.97	0.95	0.97
chrX	6942853	6943628	26844180	26844190	0.02	0.94	0.96	0.96
chr11	12550519	12550873	16155877	16155884	0.02	0.95	0.98	0.95
chr15	101717914	101718231	21076206	21076215	0.03	0.96	0.98	0.95
chr19	38636922	38637150	24690943	24690948	0.03	0.97	0.96	0.96
chr2	106430883	106431143	3260732	3260738	0.03	0.97	0.93	0.96
chr6	56505044	56505390	9651342	9651348	0.03	0.97	0.96	0.95
chr11	12860496	12860787	16158745	16158750	0.03	0.96	0.97	0.95
chr3	188618319	188618939	5963022	5963027	0.02	0.96	0.94	0.96
chr21	35954889	35955100	25980332	25980340	0.03	0.96	0.97	0.96
chr1	48484419	48484657	745165	745170	0.01	0.94	0.96	0.95
chr21	44720849	44721126	26094584	26094603	0.02	0.95	0.95	0.95
chr1	156682901	156683132	1458488	1458495	0.01	0.94	0.94	0.95
chr9	110779824	110780156	14190357	14190365	0.03	0.96	0.96	0.96
chr12	59446889	59447118	17827662	17827668	0.03	0.96	0.97	0.97
chr1	16158660	16159039	298378	298393	0.01	0.95	0.96	0.93
chr3	11754689	11754914	4553616	4553621	0.01	0.93	0.96	0.96
chr9	124463037	124463309	14310618	14310629	0.01	0.93	0.95	0.95
chr8	22096587	22096838	12360284	12360290	0.03	0.95	0.98	0.97
chr15	67757579	67757853	20698616	20698623	0.03	0.96	0.98	0.96
chr11	120008061	120008539	17111746	17111784	0.02	0.96	0.94	0.95
chr8	146095444	146095644	13403757	13403762	0.03	0.97	0.97	0.96
chr6	14717054	14717416	9219900	9219905	0.03	0.97	0.96	0.95
chr2	64538320	64539048	2905369	2905389	0.02	0.96	0.94	0.96
chr5	68090542	68090815	8086982	8086989	0.02	0.95	0.95	0.95
chr10	6260868	6261223	14720534	14720545	0.01	0.93	0.96	0.96
chr1	201983054	201983444	1805192	1805204	0.95	0.02	0.01	0.01
chr9	27664311	27664581	13614833	13614838	0.95	0.02	0.01	0.02
chr3	12451739	12452403	4560770	4560778	0.94	0.01	0.01	0.01
chr12	109192466	109192699	18187208	18187215	0.03	0.96	0.97	0.95
chr6	168734260	168734533	10491192	10491199	0.95	0.02	0.01	0.02
chr6	107925865	107926076	9964600	9964609	0.04	0.97	0.97	0.96
chr7	12853492	12854190	10730801	10730807	0.01	0.95	0.94	0.94
chr13	45319408	45319696	18802452	18802460	0.03	0.96	0.97	0.97
chr3	4824866	4825092	4484163	4484171	0.02	0.94	0.96	0.96
chr1	94057914	94058321	1091750	1091757	0.94	0.01	0.01	0.01
chr16	12124551	12125040	21321783	21321794	0.03	0.96	0.96	0.96
chr3	16368106	16368498	4611034	4611045	0.03	0.96	0.95	0.97
chr11	46087779	46088229	16410636	16410641	0.02	0.94	0.96	0.95
chr5	71781306	71781573	8123994	8123999	0.02	0.97	0.93	0.94
chr7	107773290	107773626	11603697	11603703	0.02	0.94	0.95	0.96
chr16	28869750	28870059	21531245	21531251	0.02	0.95	0.95	0.96
chr3	40110346	40111061	4784597	4784603	0.02	0.95	0.96	0.96
chr1	233465220	233465490	2118583	2118596	0.94	0.01	0.01	0.01
chr17	71329602	71329884	23112006	23112015	0.02	0.96	0.95	0.95
chr1	61914656	61914924	862780	862789	0.02	0.95	0.95	0.96
chr15	70730210	70730673	20732040	20732045	0.03	0.97	0.97	0.96
chr1	81983769	81983992	1000746	1000753	0.94	0.01	0.01	0.02
chr3	52517908	52518158	4933429	4933437	0.02	0.92	0.97	0.97
chr15	90378516	90378895	20949417	20949426	0.02	0.95	0.95	0.95
chr4	184274534	184274767	7459491	7459497	0.03	0.96	0.97	0.95
chr18	77770329	77770549	24015157	24015162	0.01	0.93	0.95	0.95
chr4	152485408	152485897	7225786	7225791	0.94	0.02	0.00	0.01
chr1	184514664	184515118	1688596	1688603	0.02	0.93	0.96	0.97
chr13	21030334	21030609	18574503	18574508	0.04	0.97	0.98	0.97
chr14	90139566	90139846	19957502	19957511	0.94	0.01	0.00	0.02
chr11	46708742	46709068	16420094	16420102	0.02	0.95	0.96	0.95
chr6	25504852	25505171	9323547	9323552	0.03	0.95	0.97	0.96
chr1	64836969	64837409	890031	890036	0.03	0.97	0.95	0.96
chr7	129996736	129996977	11757637	11757642	0.02	0.94	0.98	0.95
chr13	80436023	80436260	19040763	19040769	0.94	0.01	0.01	0.02
chr10	1505654	1505861	14660149	14660157	0.02	0.97	0.95	0.91
chr2	43083758	43083988	2725232	2725238	0.03	0.97	0.96	0.96
chr7	2094628	2094873	10592238	10592253	0.02	0.94	0.96	0.96
chr2	23755963	23756167	2529211	2529216	0.02	0.92	0.97	0.97
chr16	81533274	81533549	22006062	22006073	0.03	0.95	0.95	0.96
chr11	35835641	35836011	16332008	16332013	0.02	0.95	0.96	0.95
